"material","disposition"
"Aluminum","landfilling"
"Aluminum","recycling"
"Cardboard","combustion"
"Cardboard","landfilling"
"Cardboard","recycling"
"Carpeting","combustion"
"Carpeting","landfilling"
"Carpeting","recycling"
"Electronics","landfilling"
"Electronics","recycling"
"FoodWaste","anaerobicDigestion"
"FoodWaste","combustion"
"FoodWaste","composting"
"FoodWaste","landfilling"
"Glass","landfilling"
"Glass","recycling"
"Glass","recyclingPozzolan"
"Glass","recyclingToFiberglass"
"Glass","useAsAggregate"
"Nonrecyclables","combustion"
"Nonrecyclables","landfilling"
"PaperFiber","combustion"
"PaperFiber","landfilling"
"PaperFiber","recycling"
"PlasticFilm","combustion"
"PlasticFilm","landfilling"
"PlasticFilm","recycling"
"RigidPlastic","combustion"
"RigidPlastic","landfilling"
"RigidPlastic","recycling"
"ScrapMetal","landfilling"
"ScrapMetal","recycling"
"TinnedCan","landfilling"
"TinnedCan","recycling"
"YardDebris","anaerobicDigestion"
"YardDebris","combustion"
"YardDebris","composting"
"YardDebris","landfilling"
