"material","LCstage","disposition","impactCategory","impactUnits","impactFactor","impliedMiles"
"Aluminum","endOfLife","landfilling","Air PM2.5","kg PM2.5 eq.",0.0179337457635973,180
"Aluminum","endOfLife","recycling","Air PM2.5","kg PM2.5 eq.",-2.67015538344064,180
"Aluminum","endOfLifeTransport","landfilling","Air PM2.5","kg PM2.5 eq.",0.00764790799711028,180
"Aluminum","endOfLifeTransport","recycling","Air PM2.5","kg PM2.5 eq.",0.0209167759943024,180
"Aluminum","production","production","Air PM2.5","kg PM2.5 eq.",4.11325896725434,180
"Aluminum","endOfLife","landfilling","Energy demand","MJ",684.767446545568,180
"Aluminum","endOfLife","recycling","Energy demand","MJ",-27159.1930867608,180
"Aluminum","endOfLifeTransport","landfilling","Energy demand","MJ",335.069843776543,180
"Aluminum","endOfLifeTransport","recycling","Energy demand","MJ",550.50570289228,180
"Aluminum","production","production","Energy demand","MJ",73856.258918807,180
"Aluminum","endOfLife","landfilling","Eutrophication","kg N eq.",0.00933238229015693,180
"Aluminum","endOfLife","recycling","Eutrophication","kg N eq.",-0.191909655543858,180
"Aluminum","endOfLifeTransport","landfilling","Eutrophication","kg N eq.",0.00628509661771587,180
"Aluminum","endOfLifeTransport","recycling","Eutrophication","kg N eq.",0.01457049765618,180
"Aluminum","production","production","Eutrophication","kg N eq.",0.500731769737275,180
"Aluminum","endOfLife","landfilling","Global warming","kg CO2 eq.",39.8347970519049,180
"Aluminum","endOfLife","recycling","Global warming","kg CO2 eq.",-1904.09951368995,180
"Aluminum","endOfLifeTransport","landfilling","Global warming","kg CO2 eq.",23.0566425916862,180
"Aluminum","endOfLifeTransport","recycling","Global warming","kg CO2 eq.",37.8973494056973,180
"Aluminum","production","production","Global warming","kg CO2 eq.",4686.3989499122,180
"Aluminum","endOfLife","landfilling","Human toxicity","CTUh",1.73635092966346e-07,180
"Aluminum","endOfLife","recycling","Human toxicity","CTUh",-2.13556443845364e-05,180
"Aluminum","endOfLifeTransport","landfilling","Human toxicity","CTUh",1.31706991772498e-08,180
"Aluminum","endOfLifeTransport","recycling","Human toxicity","CTUh",2.16526070976876e-08,180
"Aluminum","production","production","Human toxicity","CTUh",2.86923387067107e-05,180
"Aluminum","endOfLife","landfilling","Smog","kg O3 eq.",3.66213062497338,180
"Aluminum","endOfLife","recycling","Smog","kg O3 eq.",-106.985452202656,180
"Aluminum","endOfLifeTransport","landfilling","Smog","kg O3 eq.",1.48204940751358,180
"Aluminum","endOfLifeTransport","recycling","Smog","kg O3 eq.",4.69706222682653,180
"Aluminum","production","production","Smog","kg O3 eq.",228.532398442754,180
"Aluminum","endOfLife","landfilling","Water consumption","kg",75.5631898452793,180
"Aluminum","endOfLife","recycling","Water consumption","kg",-68903.8001393266,180
"Aluminum","endOfLifeTransport","landfilling","Water consumption","kg",38.5943880846741,180
"Aluminum","endOfLifeTransport","recycling","Water consumption","kg",63.2603102521491,180
"Aluminum","production","production","Water consumption","kg",99329.5770681089,180
